"B07CLP4WNB","Seven Shakespeares Vol. 1 (comiXology Originals)","Sakuishi, Harold:https://m.media-amazon.com/images/I/51eZ6hBktRL._SY300_.jpg"
"B07JWFV9DB","X-Men Classic: The Complete Collection Vol. 1 (Classic X-Men (1986-1990))","Claremont, Chris:Duffy, Jo:https://m.media-amazon.com/images/I/61M8Am4S39L._SY300_.jpg"
"B01M7VAPO4","Air Awakens (Air Awakens Series Book 1)","Kova, Elise:https://m.media-amazon.com/images/I/51u00geozWL._SY300_.jpg"
"B07G11QCXY","We Hunt the Flame (Sands of Arawiya Book 1)","Faizal, Hafsah:https://m.media-amazon.com/images/I/41S8iyofhHL._SY300_.jpg"
"B0776DRJYY","Alita: Battle Angel - The Official Movie Novelization","Cadigan, Pat:https://m.media-amazon.com/images/I/41hHRuo5XaL._SY300_.jpg"
"B07ZC78XZF","Kiki's Delivery Service","Kadono, Eiko:https://m.media-amazon.com/images/I/51DIZnJ3oNL._SY300_.jpg"
"B08GC5MRPQ","Julius and Macy: A Very Brave Night","Mahoney, Annelouise:https://m.media-amazon.com/images/I/51xidG27MFL._SY300_.jpg"
"B00C25HRW0","A History of US: All the People: Since 1945","Hakim, Joy:https://m.media-amazon.com/images/I/41kHpCKgRcL._SY300_.jpg"
"B00C0UEH8E","A History of US: War, Peace, and All That Jazz: 1918-1945","Hakim, Joy:https://m.media-amazon.com/images/I/51z4XycdaCL._SY300_.jpg"
"B00AFVDV6E","A History of US: An Age of Extremes: 1880-1917","Hakim, Joy:https://m.media-amazon.com/images/I/41lUXe4+gYL._SY300_.jpg"
"B00AAW5ED6","A History of US: War, Terrible War: 1855-1865","Hakim, Joy:https://m.media-amazon.com/images/I/41AdQuvR0RL._SY300_.jpg"
"B00AFVDV78","A History of US: Liberty for All?: 1820-1860","Hakim, Joy:https://m.media-amazon.com/images/I/41r4eX-0JdL._SY300_.jpg"
"B00AAW5ECC","A History of US: The New Nation: 1789-1850","Hakim, Joy:https://m.media-amazon.com/images/I/41PpLzIDp3L._SY300_.jpg"
"B009OGCB58","A History of US: From Colonies to Country: 1735-1791","Hakim, Joy:https://m.media-amazon.com/images/I/4164f2-wERL._SY300_.jpg"
"B00AAW5EE0","A History of US: Making Thirteen Colonies: 1600-1740","Hakim, Joy:https://m.media-amazon.com/images/I/51wrhoUh5UL._SY300_.jpg"
"B00AAW5ESQ","A History of US: The First Americans: Prehistory-1600","Hakim, Joy:https://m.media-amazon.com/images/I/51Fq7TeFjqL._SY300_.jpg"
"B00FWOKE28","The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury","Watterson, Bill:https://m.media-amazon.com/images/I/61LmSWRf6RL._SY300_.jpg"
"B06Y55SB48","Artemis: A Novel","Weir, Andy:https://m.media-amazon.com/images/I/411Xu6bOXXL._SY300_.jpg"
"B08NSP7LY3","Spy x Family, Vol. 3","Endo, Tatsuya:https://m.media-amazon.com/images/I/41vAIG3bP3L._SY300_.jpg"
"B088W7RWXS","Spy x Family, Vol. 1","Endo, Tatsuya:https://m.media-amazon.com/images/I/41WcpST5nHL._SY300_.jpg"
"B08G7KGVGG","Spy x Family, Vol. 2","Endo, Tatsuya:https://m.media-amazon.com/images/I/41tzVU2VCYL._SY300_.jpg"
"B08NXWMSJ5","Becoming a Digital Parent: A Practical Guide to Help Families Navigate Technology","Rogers Whitehead, Carrie:https://m.media-amazon.com/images/I/41HffjKo7qL._SY300_.jpg"
"B074CMZ6CQ","CTRL-SHIFT","Bonifer, Mike:Shternshus, Jessie:https://m.media-amazon.com/images/I/516YJxaBXrL._SY300_.jpg"
"B082XD33ZJ","Good Eats (Text-Only Edition): The Early Years","Brown, Alton:https://m.media-amazon.com/images/I/51wp8F60TIL._SY300_.jpg"
"B07P56K21Y","Maybe He Just Likes You","Dee, Barbara:https://m.media-amazon.com/images/I/415PbN9bLmL._SY300_.jpg"
"B07GY6F2LH","Designing Web APIs: Building APIs That Developers Love","Jin, Brenda:Sahni, Saurabh:Shevat, Amir:https://m.media-amazon.com/images/I/51oE8QDWDfL._SY300_.jpg"
"B08K98485M","Magic Thief (The New York Shade Book 1)","Hoxa, D.N.:https://m.media-amazon.com/images/I/51vl4TuPS+L._SY300_.jpg"
"B08PM87HWT","A Year of Poetry Tea Time: The Essential Guide to Everything Poetry and Tea","Owens, Christine:https://m.media-amazon.com/images/I/411SU7zpHAL._SY300_.jpg"
"B002IPZJ7E","The Gates of Sleep (Elemental Masters Book 2)","Lackey, Mercedes:https://m.media-amazon.com/images/I/61QdcwjDd8L._SY300_.jpg"
"B007978M9S","Letters From Father Christmas","Tolkien, J.R.R.:https://m.media-amazon.com/images/I/5158HA33FqL._SY300_.jpg"
"B00APACAX0","The Fire Rose (Elemental Masters Book 1)","Lackey, Mercedes:https://m.media-amazon.com/images/I/51sPwRt1xrL._SY300_.jpg"
"B089W2RGNP","Witch War in Westerham: Paranormal Investigation Bureau Cozy Mystery Book 14","Lister, Dionne:https://m.media-amazon.com/images/I/51UesHrYJbL._SY300_.jpg"
"B007W5R9D2","CK-12 Middle School Math Grade 7, Volume 1 Of 2","CK-12 Foundation:https://m.media-amazon.com/images/I/41P1d8kBXUL._SY300_.jpg"
"B07W9HDBVV","Hold On, But Don't Hold Still: Hope and Humor from My Seriously Flawed Life","Kuzmic, Kristina:https://m.media-amazon.com/images/I/41IxTXaoIVL._SY300_.jpg"
"B075627CJ9","The Solitary Apocalypse (The Alessandra Chronicles Book 1)","Haws, Jeff:https://m.media-amazon.com/images/I/41Q0AC8sgxL._SY300_.jpg"
"B08KYKVL6G","THE REFORMATION OF MARS (The Eden Stories Book 2)","Toler, Terry:https://m.media-amazon.com/images/I/41iMjZ2O4uL._SY300_.jpg"
"B08KFL61NS","THE LONGEST DAY: ADVENTURE ROMANCE AND SUSPENSE (The Eden Stories Book 1)","Toler, Terry:https://m.media-amazon.com/images/I/41fxNU3qO7L._SY300_.jpg"
"B07K33MZ4Z","Dial G for Gravity: A Sci-Fi Comedy (Brent Bolster Space Detective Book 1)","Campling, Michael:https://m.media-amazon.com/images/I/514ajfO0BeL._SY300_.jpg"
"B081HG3X4F","The Vanishing Woman (The Underground Railroad Book 1)","Peterson, Doug:https://m.media-amazon.com/images/I/51muIKYr9FL._SY300_.jpg"
"B00H6PMZ0U","Rise to Power (The David Chronicles Book 1)","Poznansky, Uvi:https://m.media-amazon.com/images/I/516Ib8Jyt1L._SY300_.jpg"
"B07L8M7PSN","Dragon Thief (The Princess Witch Book 1)","Haye, Katy:https://m.media-amazon.com/images/I/51yMsZx+RAL._SY300_.jpg"
"B08M126PCB","The Book of Gates (Galenor 1)","Verreault, Audrey:https://m.media-amazon.com/images/I/41I2IrBRgbL._SY300_.jpg"
"B00U88YML2","Followed by Frost","Holmberg, Charlie N.:https://m.media-amazon.com/images/I/51tsBdSHkcL._SY300_.jpg"
"B07MYXJTT8","Siege and Sacrifice (Numina Book 3)","Holmberg, Charlie N.:https://m.media-amazon.com/images/I/51Ye1FCtY5L._SY300_.jpg"
"B07G8PDKNT","Myths and Mortals (Numina Book 2)","Holmberg, Charlie N.:https://m.media-amazon.com/images/I/51Bu7DPRYvL._SY300_.jpg"
"B01JHHMURC","Deep Magic - October 2016","Wheeler, Jeff:Holmberg,Charlie N:Merrill,Kieth:Bradford,T.E.:Poulsen,Brock:Nikel,Wendy:Jansen,Amy Power:Baxter,Christopher:https://m.media-amazon.com/images/I/61J7c4I7AiL._SY300_.jpg"
"B01ETLKDE8","Deep Magic - June 2016","Wheeler, Jeff:Holmberg, Charlie N.:Noble, Carrie Anne:Dart-Thornton, Cecilia:Yeager, Steve R.:Taylor, Brendon C.:E-zine, Deep Magic:https://m.media-amazon.com/images/I/51Qudw9K1pL._SY300_.jpg"
"B07QDLNF79","Midsummer Night (A Timeless Romance Anthology Book 23)","Holmberg, Charlie N.:Wright, Julie:Lyon, Annette:Redd, Jane:Argyle, Amber:Perkins, Luisa:https://m.media-amazon.com/images/I/51CS0AaA8sL._SY300_.jpg"
"B01FIT5ITU","The Bird and the Sword (The Bird and the Sword Chronicles Book 1)","Harmon, Amy:https://m.media-amazon.com/images/I/41qbbdfc-eS._SY300_.jpg"
"B01MFBROQ3","Kingdom of Ash and Briars: A Nissera Novel (The Nissera Chronicles Book 1)","West, Hannah:https://m.media-amazon.com/images/I/51rcr92YfEL._SY300_.jpg"
"B00I7JCG08","East","Pattou, Edith:https://m.media-amazon.com/images/I/41AUbBeT5yL._SY300_.jpg"
"B07NTYDB4P","Neil Gaiman's Snow, Glass, Apples","Gaiman, Neil:https://m.media-amazon.com/images/I/51VM9yxXPfL._SY300_.jpg"
"B07NKPW5F5","The Guinevere Deception (Camelot Rising Trilogy Book 1)","White, Kiersten:https://m.media-amazon.com/images/I/51Qr008k0TL._SY300_.jpg"
"B07MYLHLGZ","War Girls","Onyebuchi, Tochi:https://m.media-amazon.com/images/I/41fQbLgjHxL._SY300_.jpg"
"B07J4MMKWP","Blood Heir","Zhao, Amélie Wen:https://m.media-amazon.com/images/I/51U8Iy77D7L._SY300_.jpg"
"B00L8WRXTU","Bound (Bound Trilogy Book 1)","Sparkes, Kate:https://m.media-amazon.com/images/I/514Ugd0gzuL._SY300_.jpg"
"B07G71V1XQ","The Beast Player","Uehashi, Nahoko:https://m.media-amazon.com/images/I/518n-3QzP9L._SY300_.jpg"
"B07P9LQBM1","The Shadows Between Us","Levenseller, Tricia:https://m.media-amazon.com/images/I/51NKQD10W2L._SY300_.jpg"
"B06ZXWGVDC","An Enchantment of Ravens","Rogerson, Margaret:https://m.media-amazon.com/images/I/51kirZzj7BL._SY300_.jpg"
"B07MD6JXT1","Sorcery of Thorns","Rogerson, Margaret:https://m.media-amazon.com/images/I/51geWHDf9JL._SY300_.jpg"
"B07SRTB7SN","Bone Crier's Moon","Purdie, Kathryn:https://m.media-amazon.com/images/I/51n8BFjv3DL._SY300_.jpg"
"B078R3PYY7","Thorn (Dauntless Path Book 1)","Khanani, Intisar:https://m.media-amazon.com/images/I/51kD9S9ofmL._SY300_.jpg"
"B07G1316N9","The Merciful Crow (The Merciful Crow Series Book 1)","Owen, Margaret:https://m.media-amazon.com/images/I/518HXopUj-L._SY300_.jpg"
"B07MQNDCXK","The Library of the Unwritten (A Novel from Hell's Library Book 1)","Hackwith, A. J.:https://m.media-amazon.com/images/I/51w5zw14YFL._SY300_.jpg"
"B07PBS3LGV","Gravemaidens","Coon, Kelly:https://m.media-amazon.com/images/I/51uQmzdVEvL._SY300_.jpg"
"B07KPD6NHN","The First Girl Child (The Chronicles of Saylok)","Harmon, Amy:https://m.media-amazon.com/images/I/51XKfGuXM3L._SY300_.jpg"
"B08CJ86Y1W","A Wizard's Guide To Defensive Baking","Kingfisher, T.:https://m.media-amazon.com/images/I/51ADdpWrU5L._SY300_.jpg"
"B01LY9V56M","The Gold-Son","Noble, Carrie Anne:https://m.media-amazon.com/images/I/51-7j6SrAVL._SY300_.jpg"
"B01NAFXFKI","The Fifth Doll","Holmberg, Charlie N.:https://m.media-amazon.com/images/I/51ZdHugGq6L._SY300_.jpg"
"B019IL7R20","Magic Bitter, Magic Sweet","Holmberg, Charlie N.:https://m.media-amazon.com/images/I/51odUtgGCTL._SY300_.jpg"
"B078T1YX2K","Veins of Gold","Holmberg, Charlie N.:https://m.media-amazon.com/images/I/51Riwm0tXpL._SY300_.jpg"
"B07Q1C9JZP","The Will and the Wilds","Holmberg, Charlie N.:https://m.media-amazon.com/images/I/51yA8PDlbcL._SY300_.jpg"
"B082HRSZKW","Spellbreaker","Holmberg, Charlie N.:https://m.media-amazon.com/images/I/51aJOTD2sPL._SY300_.jpg"
"B07XVQDQ58","Publishable By Death (St. Marin's Cozy Mystery Series Book 1)","Bookens, ACF:https://m.media-amazon.com/images/I/51anbRJtIoL._SY300_.jpg"
"B07BMZFXB9","A Little Bit Witchy (A Riddler's Edge Cozy Mystery #1)","Albright, A.A.:https://m.media-amazon.com/images/I/51vA--x1onL._SY300_.jpg"
